id	author	documents	citations	total link strength
958	"medina romero, miguel ángel"	1	51	0
959	"medina, johanne"	2	1	0
960	"mehlin, vanessa"	1	1	0
961	"mehnen, lars"	1	0	0
962	"mehrfar, abdollah"	1	0	0
963	"meiselwitz, gabriele"	1	2	0
964	"mejtoft, thomas"	1	0	0
965	"mello, rafael ferreira"	1	5	0
966	"mendes, antonio jose"	1	9	0
967	"mendonça, fábio lúcio lopes"	1	1	0
968	"menkhoff, thomas"	1	2	0
969	"merchán-murillo, antonio"	1	15	0
970	"merlin, andrija"	1	0	0
971	"mesquida, antoni-lluís"	1	2	0
972	"michal, jakub"	1	3	0
973	"michot, janick"	1	0	0
974	"milhem, marwan"	1	17	0
975	"mills, nishan"	1	27	0
976	"milrad, marcelo"	1	0	0
977	"milutinovic, goran"	1	5	0
978	"min, qingfei"	1	0	0
979	"ming, wai-kit"	1	5	0
980	"miranda, péricles"	1	5	0
981	"mirza, imran ali"	1	0	0
982	"mirzayeva, dilshoda"	1	0	0
983	"misal, sharlene"	1	0	0
984	"mishra, anjana"	1	2	0
985	"misra, abhishek"	1	2	0
986	"mithas, sunil"	1	1502	0
987	"mitsuhara, hiroyuki"	1	3	0
988	"mittal, anirudh"	1	2	0
989	"mittal, neetu"	1	1	0
990	"mittal, v."	1	17	0
991	"miyazaki, keisuke"	1	1	0
992	"modran, horia alexandru"	1	0	0
993	"mogaji, emmanuel"	1	1502	0
994	"mohamed, azza"	2	0	0
995	"mohamed, ben ahmed"	1	0	0
996	"mohammed, phaedra"	1	1	0
997	"mohanapriya, t."	1	0	0
998	"moharir, minal"	1	3	0
999	"mohd rahim, noor irliana"	1	107	0
1000	"molefi, rethabile rosemary"	1	9	0
1001	"molina, josé manuel"	1	8	0
1002	"molnar, gyorgy"	1	111	0
1003	"mon, chit su"	1	2	0
1004	"mondal, anupam"	1	50	2
1005	"mondal, sweety"	1	2	0
1006	"monika rani, h.g."	1	3	0
1007	"monserrat, maria"	1	2	0
1008	"moore, steven"	1	0	0
1009	"moorhouse, benjamin luke"	1	103	0
1010	"moraes neto, antônio j."	1	0	0
1011	"moran, kevin"	1	115	0
1012	"moreira, fernando"	1	0	0
1013	"mostafa, mohamed m.m."	1	0	0
1014	"mouti, samar"	1	1	0
1015	"mozgai, sharon"	1	4	0
1016	"mullo-ca, karen"	1	21	0
1017	"mulvenna, maurice d."	1	0	0
1018	"mulyana, eueung"	1	16	0
1019	"munir, hussan"	1	55	0
1020	"murad, masrah azrifah azmi"	1	6	0
1021	"murali, m."	1	0	0
1022	"muriithi, betsy"	1	0	0
1023	"murugan, jayalakshmi"	1	0	0
1024	"musabirov, ilya"	1	0	0
1025	"muschko, marc"	1	33	0
1026	"muslu, nilay"	1	4	0
1027	"mustafa, mohammad"	1	2	0
1028	"muthmainnah, muthmainnah"	1	0	0
1029	"nabokov, leonid valerievich"	1	0	0
1030	"nagaraj, k.v."	1	2	0
1031	"naghmeh-abbaspour, bita"	2	89	0
1032	"nagpal, sachit"	1	50	2
1033	"nam, le nguyen hoai"	1	116	0
1034	"nambiar, rajiv"	1	11	0
1035	"nand, nayan"	1	0	0
1036	"nandan, vrinda"	1	3	0
1037	"nandula, alekhya"	1	3	0
1038	"nandwani, ishita"	1	58	0
1039	"nascimento, andré"	1	5	0
1040	"nasharuddin, nurul amelina"	1	6	0
1041	"natarajan, pradeep"	1	18	0
